on_delay_ms,n_pulse,weight_g
100, 20, 3.25
200, 20, 5.80
300, 20, 8.54
400, 20, 11.05
500, 20, 13.88
600, 20, 16.5
700, 20, 19.4
800, 20, 22.00
900, 20, 24.56
1000, 20, 27.00
100, 40, 6.11
200, 40, 10.8
200, 40, 11.69
300, 40, 17.28
100, 40, 6.26
100, 40, 6.85
100, 40, 6.27
200, 40, 11.52
200, 40, 10.75
200, 40, 11.25
300, 40, 17.34
300, 40, 17.39
300, 40, 16.9
400, 20, 11.26
400, 20, 11
400, 20, 11.25
400, 20, 10.78
500, 20, 14.10
500, 20, 13.7
500, 20, 14.12
500, 20, 14.07
600, 20, 16.92
600, 20, 16.6
600, 20, 16.82
600, 20, 16.17
700, 20, 18.90
700, 20, 19.52
700, 20, 19.64
700, 20, 19.42
800, 20, 21.25
800, 20, 22.19
800, 20, 22.33
800, 20, 22.76
900, 20, 26.12
900, 20, 25.50
900, 20, 25.66
900, 20, 25.80
1000, 20, 29.00
1000, 20, 28.45
1000, 20, 28.46
1000, 20, 28.42
150, 40, 9.14
150, 40, 9.15
150, 40, 9.10
150, 40, 9.05
150, 40, 9.16
50, 40, 3.50
50, 40, 3.60
50, 40, 3.40
50, 40, 3.42
50, 40, 3.34
25, 40, 1.75
25, 40, 1.88
25, 40, 1.68
25, 40, 1.75
25, 40, 1.82
250, 40, 14.47
250, 40, 14.65
250, 40, 14.46
250, 40, 14.50
250, 40, 14.55
200, 40, 11.75
200, 40, 11.74
200, 40, 11.88
200, 40, 11.88
200, 40, 11.77
